,REGIÃO,MUNICÍPIO,ABSTENÇÃO 1º TURNO,ABSTENÇÃO 2º TURNO
0,VALE DO PARAIBA,APARECIDA,6658,0
0,VALE DO PARAIBA,CAÇAPAVA,19287,0
0,VALE DO PARAIBA,CACHOEIRA PAULISTA,7064,0
0,VALE DO PARAIBA,CANAS,585,0
0,VALE DO PARAIBA,CUNHA,2726,0
0,VALE DO PARAIBA,GUARATINGUETÁ,25500,0
0,VALE DO PARAIBA,IGARATÁ,1804,0
0,VALE DO PARAIBA,JACAREÍ,47487,0
0,VALE DO PARAIBA,JAMBEIRO,1006,0
0,VALE DO PARAIBA,LAGOINHA,934,0
0,VALE DO PARAIBA,LORENA,16265,0
0,VALE DO PARAIBA,NATIVIDADE DA SERRA,1398,0
0,VALE DO PARAIBA,PARAIBUNA,3736,0
0,VALE DO PARAIBA,PINDAMONHANGABA,31980,0
0,VALE DO PARAIBA,PIQUETE,1874,0
0,VALE DO PARAIBA,POTIM,2497,0
0,VALE DO PARAIBA,REDENÇÃO DA SERRA,895,0
0,VALE DO PARAIBA,ROSEIRA,1429,0
0,VALE DO PARAIBA,SANTA BRANCA,3221,0
0,VALE DO PARAIBA,SÃO JOSÉ DOS CAMPOS,145210,0
0,VALE DO PARAIBA,SÃO LUÍS DO PARAITINGA,1848,0
0,VALE DO PARAIBA,TAUBATÉ,67192,72373
0,VALE DO PARAIBA,TREMEMBÉ,7757,0
0,VALE HISTÓRICO,ARAPEÍ,500,0
0,VALE HISTÓRICO,AREIAS,383,0
0,VALE HISTÓRICO,BANANAL,2323,0
0,VALE HISTÓRICO,CRUZEIRO,16310,0
0,VALE HISTÓRICO,LAVRINHAS,1133,0
0,VALE HISTÓRICO,QUELUZ,1228,0
0,VALE HISTÓRICO,SÃO JOSÉ DO BARREIRO,672,0
0,VALE HISTÓRICO,SILVEIRAS,990,0
0,LITORAL NORTE,CARAGUATATUBA,26919,0
0,LITORAL NORTE,ILHABELA,6288,0
0,LITORAL NORTE,SÃO SEBASTIÃO,15605,0
0,LITORAL NORTE,UBATUBA,22013,0
0,SERRA DA MANTIQUEIRA,CAMPOS DO JORDÃO,13009,0
0,SERRA DA MANTIQUEIRA,MONTEIRO LOBATO,826,0
0,SERRA DA MANTIQUEIRA,SANTO ANTÔNIO DO PINHAL,1443,0
0,SERRA DA MANTIQUEIRA,SÃO BENTO DO SAPUCAÍ,2361,0
0,REGIÃO BRAGANTINA,ATIBAIA,32098,0
0,REGIÃO BRAGANTINA,BOM JESUS DOS PERDÕES,4032,0
0,REGIÃO BRAGANTINA,BRAGANÇA PAULISTA,37727,0
0,REGIÃO BRAGANTINA,JOANÓPOLIS,2206,0
0,REGIÃO BRAGANTINA,NAZARÉ PAULISTA,3351,0
0,REGIÃO BRAGANTINA,PIRACAIA,6282,0
0,REGIÃO BRAGANTINA,VARGEM,1894,0
