DS_FAIXA_ETARIA,QT_ELEITORES_PERFIL
100 anos ou mais              ,85
16 anos                       ,593
17 anos                       ,1905
18 anos                       ,7173
19 anos                       ,8754
20 anos                       ,9600
21 a 24 anos                  ,40163
25 a 29 anos                  ,51866
30 a 34 anos                  ,55086
35 a 39 anos                  ,58915
40 a 44 anos                  ,50407
45 a 49 anos                  ,45084
50 a 54 anos                  ,42755
55 a 59 anos                  ,38864
60 a 64 anos                  ,33122
65 a 69 anos                  ,24973
70 a 74 anos                  ,16654
75 a 79 anos                  ,9920
80 a 84 anos                  ,6125
85 a 89 anos                  ,3548
90 a 94 anos                  ,2193
95 a 99 anos                  ,906
Inválido                      ,2
